create	[kriˈeɪt]	[kriˈeɪt]	v. 创建；创造
speak	[spiːk]	[spiːk]	v. 说；朗读
read	[riːd]	[riːd]	v. 阅读
allow	[əˈlaʊ]	[əˈlaʊ]	v. 允许
add	[æd]	[æd]	v. 添加
spend	[spend]	[spend]	v. 花费
grow	[ɡroʊ]	[ɡrəʊ]	v. 生长；增长
open	[ˈoʊpən]	[ˈəʊpən]	v. 打开
walk	[wɔːk]	[wɔːk]	v. 走路
win	[wɪn]	[wɪn]	v. 赢得
offer	[ˈɔːfər]	[ˈɒfə]	v. 提供；提出
remember	[rɪˈmembər]	[rɪˈmembə]	v. 记得
love	[lʌv]	[lʌv]	v. 爱；喜欢
consider	[kənˈsɪdər]	[kənˈsɪdə]	v. 考虑
appear	[əˈpɪr]	[əˈpɪə]	v. 出现
buy	[baɪ]	[baɪ]	v. 买
wait	[weɪt]	[weɪt]	v. 等待
serve	[sɜːrv]	[sɜːv]	v. 服务
die	[daɪ]	[daɪ]	v. 死亡
send	[send]	[send]	v. 发送
expect	[ɪkˈspekt]	[ɪkˈspekt]	v. 期待
build	[bɪld]	[bɪld]	v. 构建
stay	[steɪ]	[steɪ]	v. 停留；保持
fall	[fɔːl]	[fɔːl]	v. 落下
cut	[kʌt]	[kʌt]	v. 切割
reach	[riːtʃ]	[riːtʃ]	v. 到达
kill	[kɪl]	[kɪl]	v. 杀死
remain	[rɪˈmeɪn]	[rɪˈmeɪn]	v. 保持；剩余
print	[prɪnt]	[prɪnt]	v. 打印
she	[ʃiː]	[ʃiː]	pron. 她
he	[hiː]	[hiː]	pron. 他
they	[ðeɪ]	[ðeɪ]	pron. 他们
we	[wiː]	[wiː]	pron. 我们
you	[juː]	[juː]	pron. 你；你们
it	[ɪt]	[ɪt]	pron. 它
hello	[həˈloʊ]	[həˈləʊ]	int. 你好；喂
hi	[haɪ]	[haɪ]	int. 嗨；你好
good	[ɡʊd]	[ɡʊd]	adj. 好的；优良的
morning	[ˈmɔːrnɪŋ]	[ˈmɔːnɪŋ]	n. 早晨；上午
night	[naɪt]	[naɪt]	n. 夜晚
world	[wɜːrld]	[wɜːld]	n. 世界
apple	[ˈæpəl]	[ˈap(ə)l]	n. 苹果
book	[bʊk]	[bʊk]	n. 书
car	[kɑːr]	[kɑː]	n. 汽车
cat	[kæt]	[kæt]	n. 猫
dog	[dɔːɡ]	[dɒɡ]	n. 狗
house	[haʊs]	[haʊs]	n. 房子
school	[skuːl]	[skuːl]	n. 学校
teacher	[ˈtiːtʃər]	[ˈtiːtʃə]	n. 老师
student	[ˈstuːdənt]	[ˈstjuːd(ə)nt]	n. 学生
water	[ˈwɔːtər]	[ˈwɔːtə]	n. 水
food	[fuːd]	[fuːd]	n. 食物
coffee	[ˈkɔːfi]	[ˈkɒfi]	n. 咖啡
tea	[tiː]	[tiː]	n. 茶
computer	[kəmˈpjuːtər]	[kəmˈpjuːtə]	n. 计算机
phone	[foʊn]	[fəʊn]	n. 电话
keyboard	[ˈkiːbɔːrd]	[ˈkiːbɔːd]	n. 键盘
window	[ˈwɪndoʊ]	[ˈwɪndəʊ]	n. 窗口
translate	[trænsˈleɪt]	[trænzˈleɪt]	v. 翻译；转化
translation	[trænsˈleɪʃən]	[trænzˈleɪʃən]	n. 翻译；译文
dictionary	[ˈdɪkʃəneri]	[ˈdɪkʃən(ə)ri]	n. 词典；字典
phrase	[freɪz]	[freɪz]	n. 短语；词组
sentence	[ˈsentəns]	[ˈsentəns]	n. 句子
paragraph	[ˈpærəɡræf]	[ˈpærəɡrɑːf]	n. 段落
article	[ˈɑːrtɪk(ə)l]	[ˈɑːtɪk(ə)l]	n. 文章；条目
language	[ˈlæŋɡwɪdʒ]	[ˈlæŋɡwɪdʒ]	n. 语言
english	[ˈɪŋɡlɪʃ]	[ˈɪŋɡlɪʃ]	n. 英语
chinese	[tʃaɪˈniːz]	[tʃaɪˈniːz]	n. 中文；汉语
input	[ˈɪnpʊt]	[ˈɪnpʊt]	n. 输入
output	[ˈaʊtpʊt]	[ˈaʊtpʊt]	n. 输出
search	[sɜːrtʃ]	[sɜːtʃ]	v. 搜索；查找
result	[rɪˈzʌlt]	[rɪˈzʌlt]	n. 结果
meaning	[ˈmiːnɪŋ]	[ˈmiːnɪŋ]	n. 含义；意义
pronunciation	[prəˌnʌnsiˈeɪʃən]	[prəˌnʌnsɪˈeɪʃ(ə)n]	n. 发音
example	[ɪɡˈzæmpəl]	[ɪɡˈzɑːmp(ə)l]	n. 例子；示例
history	[ˈhɪstəri]	[ˈhɪst(ə)ri]	n. 历史；记录
favorite	[ˈfeɪvərɪt]	[ˈfeɪvərɪt]	n. 收藏项；最爱
setting	[ˈsetɪŋ]	[ˈsetɪŋ]	n. 设置
offline	[ˌɔːfˈlaɪn]	[ˌɒfˈlaɪn]	adj. 离线的
online	[ˈɑːnlaɪn]	[ˈɒnlaɪn]	adj. 在线的
network	[ˈnetwɜːrk]	[ˈnetwɜːk]	n. 网络
local	[ˈloʊkəl]	[ˈləʊk(ə)l]	adj. 本地的
model	[ˈmɑːdəl]	[ˈmɒd(ə)l]	n. 模型
api	[ˌeɪ piː ˈaɪ]	[ˌeɪ piː ˈaɪ]	n. 应用编程接口
prompt	[prɑːmpt]	[prɒmpt]	n. 提示词；提示
response	[rɪˈspɑːns]	[rɪˈspɒns]	n. 响应；回答
speed	[spiːd]	[spiːd]	n. 速度
quality	[ˈkwɑːləti]	[ˈkwɒləti]	n. 质量
design	[dɪˈzaɪn]	[dɪˈzaɪn]	n. 设计
style	[staɪl]	[staɪl]	n. 风格
transparent	[trænˈsperənt]	[trænˈspærənt]	adj. 透明的；清晰的
rounded	[ˈraʊndɪd]	[ˈraʊndɪd]	adj. 圆润的
glass	[ɡlæs]	[ɡlɑːs]	n. 玻璃
glassmorphism	[ˈɡlæs.mɔr.fɪ.zəm]	[ˈɡlɑːs.mɔː.fɪ.zəm]	n. 毛玻璃拟物化风格
gradient	[ˈɡreɪdiənt]	[ˈɡreɪdiənt]	n. 渐变
animation	[ˌænɪˈmeɪʃən]	[ˌænɪˈmeɪʃ(ə)n]	n. 动画
button	[ˈbʌt(ə)n]	[ˈbʌt(ə)n]	n. 按钮
sidebar	[ˈsaɪdbɑːr]	[ˈsaɪdbɑː]	n. 侧边栏
focus	[ˈfoʊkəs]	[ˈfəʊkəs]	n. 焦点
cursor	[ˈkɜːrsər]	[ˈkɜːsə]	n. 光标
select	[sɪˈlekt]	[sɪˈlekt]	v. 选择
copy	[ˈkɑːpi]	[ˈkɒpi]	v. 复制
import	[ɪmˈpɔːrt]	[ɪmˈpɔːt]	v. 导入
export	[ˈekspɔːrt]	[ˈekspɔːt]	v. 导出
database	[ˈdeɪtəbeɪs]	[ˈdeɪtəbeɪs]	n. 数据库
sqlite	[ˌsiːkjuːˈel aɪt]	[ˌsiːkjuːˈel aɪt]	n. SQLite 数据库
term	[tɜːrm]	[tɜːm]	n. 术语；词条
definition	[ˌdefɪˈnɪʃən]	[ˌdefɪˈnɪʃ(ə)n]	n. 定义；释义
listen	[ˈlɪs(ə)n]	[ˈlɪs(ə)n]	v. 听
speak	[spiːk]	[spiːk]	v. 说；朗读
voice	[vɔɪs]	[vɔɪs]	n. 声音
quick	[kwɪk]	[kwɪk]	adj. 快速的
toggle	[ˈtɑːɡəl]	[ˈtɒɡ(ə)l]	v. 切换
open	[ˈoʊpən]	[ˈəʊpən]	v. 打开
close	[kloʊz]	[kləʊz]	v. 关闭
save	[seɪv]	[seɪv]	v. 保存
load	[loʊd]	[ləʊd]	v. 加载
error	[ˈerər]	[ˈerə]	n. 错误
debug	[diːˈbʌɡ]	[diːˈbʌɡ]	v. 调试
log	[lɔːɡ]	[lɒɡ]	n. 日志
query	[ˈkwɪri]	[ˈkwɪəri]	n. 查询
candidate	[ˈkændɪdeɪt]	[ˈkændɪdət]	n. 候选项
exact	[ɪɡˈzækt]	[ɪɡˈzækt]	adj. 精确的
match	[mætʃ]	[mætʃ]	n. 匹配
missing	[ˈmɪsɪŋ]	[ˈmɪsɪŋ]	adj. 缺失的
default	[dɪˈfɔːlt]	[dɪˈfɔːlt]	adj. 默认的
custom	[ˈkʌstəm]	[ˈkʌstəm]	adj. 自定义的
